,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
6,GOOG240719C00100000,2024-06-20 19:38:34+00:00,100.0,78.15,79.95,83.0,0.0,0.0,29.0,366,1.3735382885742187,True,REGULAR,USD,2024-07-19
7,GOOG240719C00105000,2024-06-20 19:05:08+00:00,105.0,72.66,74.95,78.3,0.0,0.0,25.0,194,1.3095737646484373,True,REGULAR,USD,2024-07-19
8,GOOG240719C00110000,2024-06-20 15:45:45+00:00,110.0,68.15,70.0,73.15,0.0,0.0,3.0,76,1.2041055419921873,True,REGULAR,USD,2024-07-19
9,GOOG240719C00115000,2024-06-20 19:06:36+00:00,115.0,62.81,65.05,68.35,0.0,0.0,30.0,227,1.137211345214844,True,REGULAR,USD,2024-07-19
10,GOOG240719C00120000,2024-06-21 14:29:40+00:00,120.0,61.45,60.05,63.35,3.1100006,5.3308206,3.0,860,1.0485887414550783,True,REGULAR,USD,2024-07-19
11,GOOG240719C00125000,2024-06-21 16:03:38+00:00,125.0,57.2,55.1,58.25,4.3500023,8.230846,5.0,460,0.958740646972656,True,REGULAR,USD,2024-07-19
12,GOOG240719C00130000,2024-06-21 14:15:18+00:00,130.0,51.62,50.1,53.45,3.459999,7.1843834,6.0,553,0.8911143701171874,True,REGULAR,USD,2024-07-19
13,GOOG240719C00135000,2024-06-21 18:44:26+00:00,135.0,47.08,45.15,47.5,4.210003,9.8203945,4.0,3104,0.7409693872070311,True,REGULAR,USD,2024-07-19
14,GOOG240719C00140000,2024-06-21 19:55:56+00:00,140.0,41.7,40.15,43.5,3.7000008,9.736844,50.0,1258,0.73633076171875,True,REGULAR,USD,2024-07-19
15,GOOG240719C00145000,2024-06-21 18:13:30+00:00,145.0,37.24,35.2,38.5,3.960003,11.899047,102.0,1554,0.6608920629882813,True,REGULAR,USD,2024-07-19
16,GOOG240719C00150000,2024-06-21 19:23:42+00:00,150.0,31.05,30.25,32.5,2.3499985,8.188148,20.0,1845,0.5271043383789062,True,REGULAR,USD,2024-07-19
17,GOOG240719C00155000,2024-06-21 19:55:27+00:00,155.0,26.62,25.3,28.1,3.1200008,13.276599,10.0,3666,0.6191444335937502,True,REGULAR,USD,2024-07-19
18,GOOG240719C00160000,2024-06-21 17:55:40+00:00,160.0,21.45,20.45,23.5,2.7700005,14.828695,39.0,6342,0.5629926513671876,True,REGULAR,USD,2024-07-19
19,GOOG240719C00165000,2024-06-21 19:45:08+00:00,165.0,17.44,15.7,18.8,3.1900005,22.38597,57.0,3193,0.4935353381347657,True,REGULAR,USD,2024-07-19
20,GOOG240719C00170000,2024-06-21 19:57:13+00:00,170.0,12.07,11.7,12.4,2.12,21.306532,456.0,5135,0.3109199768066406,True,REGULAR,USD,2024-07-19
21,GOOG240719C00175000,2024-06-21 19:57:54+00:00,175.0,8.2,7.8,8.25,1.8499999,29.133856,704.0,7185,0.2699047619628906,True,REGULAR,USD,2024-07-19
22,GOOG240719C00180000,2024-06-21 19:59:59+00:00,180.0,3.75,3.75,5.0,0.07999992,2.1798344,3845.0,13125,0.24915301635742187,True,REGULAR,USD,2024-07-19
23,GOOG240719C00185000,2024-06-21 19:59:31+00:00,185.0,2.65,2.5,2.9,0.7700001,40.95745,2913.0,9373,0.24781025634765624,False,REGULAR,USD,2024-07-19
24,GOOG240719C00190000,2024-06-21 19:57:09+00:00,190.0,1.28,1.21,1.33,0.38,42.22222,4160.0,9791,0.23255161987304687,False,REGULAR,USD,2024-07-19
25,GOOG240719C00195000,2024-06-21 19:59:58+00:00,195.0,0.6,0.1,0.66,0.19000003,46.34147,1703.0,4405,0.23780059082031246,False,REGULAR,USD,2024-07-19
26,GOOG240719C00200000,2024-06-21 19:59:23+00:00,200.0,0.27,0.27,0.32,0.060000017,28.571438,1708.0,4603,0.24439232177734377,False,REGULAR,USD,2024-07-19
27,GOOG240719C00205000,2024-06-21 16:58:16+00:00,205.0,0.2,0.14,0.2,0.080000006,66.66667,97.0,1366,0.26367923828125,False,REGULAR,USD,2024-07-19
28,GOOG240719C00210000,2024-06-21 19:52:03+00:00,210.0,0.1,0.08,0.13,0.0,0.0,100.0,388,0.282233740234375,False,REGULAR,USD,2024-07-19
29,GOOG240719C00215000,2024-06-21 15:05:59+00:00,215.0,0.07,0.05,0.09,0.02,39.999996,19.0,350,0.3007882421875,False,REGULAR,USD,2024-07-19
30,GOOG240719C00220000,2024-06-21 19:04:08+00:00,220.0,0.05,0.03,0.07,0.010000002,25.000006,42.0,690,0.32227240234374993,False,REGULAR,USD,2024-07-19
31,GOOG240719C00225000,2024-06-18 18:05:50+00:00,225.0,0.05,0.02,0.05,0.0,0.0,21.0,72,0.3398503515625,False,REGULAR,USD,2024-07-19
32,GOOG240719C00230000,2024-06-20 17:24:58+00:00,230.0,0.04,0.02,0.07,-0.010000002,-20.000004,1.0,32,0.383795224609375,False,REGULAR,USD,2024-07-19
33,GOOG240719C00235000,2024-06-04 14:34:41+00:00,235.0,0.04,0.01,0.06,0.0,0.0,5.0,7,0.40430283203125,False,REGULAR,USD,2024-07-19
34,GOOG240719C00240000,2024-06-17 15:16:40+00:00,240.0,0.03,0.0,0.04,0.0,0.0,4.0,67,0.41211525390625,False,REGULAR,USD,2024-07-19
35,GOOG240719C00250000,2024-06-06 19:45:03+00:00,250.0,0.02,0.0,0.06,0.0,0.0,1.0,2,0.48438015625,False,REGULAR,USD,2024-07-19
36,GOOG240719C00260000,2024-05-31 16:37:58+00:00,260.0,0.04,0.0,0.52,0.0,0.0,1.0,14,0.647464462890625,False,REGULAR,USD,2024-07-19
0,GOOG240726C00135000,2024-06-11 16:06:23+00:00,135.0,41.96,45.35,48.5,0.0,0.0,,5,0.7397486962890624,True,REGULAR,USD,2024-07-26
1,GOOG240726C00145000,2024-06-17 13:48:57+00:00,145.0,33.19,35.55,38.9,0.0,0.0,1.0,3,0.6269568554687501,True,REGULAR,USD,2024-07-26
2,GOOG240726C00150000,2024-06-21 16:05:45+00:00,150.0,32.61,30.65,34.0,5.5600014,20.554533,6.0,51,0.5638471350097658,True,REGULAR,USD,2024-07-26
3,GOOG240726C00160000,2024-06-21 18:29:52+00:00,160.0,23.4,21.25,23.7,4.1000004,21.243526,10.0,9,0.514653291015625,True,REGULAR,USD,2024-07-26
4,GOOG240726C00165000,2024-06-21 17:03:05+00:00,165.0,19.23,17.15,17.9,4.0099993,26.346907,3.0,18,0.38477177734374995,True,REGULAR,USD,2024-07-26
5,GOOG240726C00170000,2024-06-21 19:59:52+00:00,170.0,13.7,12.9,13.8,2.3999996,21.238935,37.0,86,0.35632967895507806,True,REGULAR,USD,2024-07-26
6,GOOG240726C00175000,2024-06-21 19:45:50+00:00,175.0,10.81,9.75,10.25,2.3200006,27.326275,81.0,254,0.3386296606445312,True,REGULAR,USD,2024-07-26
7,GOOG240726C00180000,2024-06-21 19:54:23+00:00,180.0,7.53,6.6,7.25,1.8300004,32.10527,653.0,617,0.32471378417968744,True,REGULAR,USD,2024-07-26
8,GOOG240726C00185000,2024-06-21 19:59:55+00:00,185.0,4.75,4.25,4.9,1.02,27.345844,261.0,577,0.3156806713867187,False,REGULAR,USD,2024-07-26
9,GOOG240726C00190000,2024-06-21 19:58:42+00:00,190.0,3.1,2.95,3.4,0.89999986,40.909084,222.0,367,0.3219672296142577,False,REGULAR,USD,2024-07-26
10,GOOG240726C00195000,2024-06-21 19:50:01+00:00,195.0,2.72,1.68,2.14,1.35,98.540146,91.0,129,0.3175117077636719,False,REGULAR,USD,2024-07-26
11,GOOG240726C00200000,2024-06-21 19:21:22+00:00,200.0,1.38,1.05,1.3,0.48000002,53.333336,428.0,416,0.3149482568359374,False,REGULAR,USD,2024-07-26
12,GOOG240726C00205000,2024-06-21 19:46:03+00:00,205.0,0.79,0.55,0.8,0.24000001,43.636364,43.0,136,0.3175117077636719,False,REGULAR,USD,2024-07-26
13,GOOG240726C00210000,2024-06-21 19:54:14+00:00,210.0,0.49,0.38,0.49,0.14000002,40.000008,23.0,100,0.32129584960937496,False,REGULAR,USD,2024-07-26
14,GOOG240726C00215000,2024-06-21 14:48:27+00:00,215.0,0.26,0.14,0.4,0.029999986,13.043472,10.0,16,0.3442448388671875,False,REGULAR,USD,2024-07-26
15,GOOG240726C00240000,2024-06-10 15:12:59+00:00,240.0,0.06,0.0,1.16,0.0,0.0,,3,0.5415084912109377,False,REGULAR,USD,2024-07-26
16,GOOG240726C00250000,2024-06-13 13:30:00+00:00,250.0,0.1,0.0,1.13,0.0,0.0,1.0,1,0.5986368261718751,False,REGULAR,USD,2024-07-26
0,GOOG240802C00115000,2024-06-14 15:22:05+00:00,115.0,64.34,65.35,68.5,0.0,0.0,,2,0.9555668505859375,True,REGULAR,USD,2024-08-02
1,GOOG240802C00140000,2024-06-18 18:02:05+00:00,140.0,37.5,40.65,43.85,0.0,0.0,2.0,3,0.6398961791992188,True,REGULAR,USD,2024-08-02
2,GOOG240802C00150000,2024-06-20 17:56:45+00:00,150.0,28.85,30.95,34.0,0.0,0.0,1.0,3,0.52539537109375,True,REGULAR,USD,2024-08-02
3,GOOG240802C00160000,2024-06-17 19:36:21+00:00,160.0,21.65,21.9,23.8,0.0,0.0,3.0,2,0.47449255981445315,True,REGULAR,USD,2024-08-02
4,GOOG240802C00165000,2024-06-21 18:49:43+00:00,165.0,19.05,17.75,18.45,3.0499992,19.062496,3.0,9,0.3813538427734374,True,REGULAR,USD,2024-08-02
5,GOOG240802C00170000,2024-06-21 15:13:18+00:00,170.0,14.12,13.4,14.5,1.8999996,15.548279,4.0,14,0.35858795715332037,True,REGULAR,USD,2024-08-02
6,GOOG240802C00175000,2024-06-21 15:47:12+00:00,175.0,11.47,9.35,11.0,2.2700005,24.673918,12.0,49,0.3411931115722656,True,REGULAR,USD,2024-08-02
7,GOOG240802C00180000,2024-06-21 19:59:56+00:00,180.0,7.75,6.5,8.05,1.27,19.598766,79.0,103,0.3289251678466796,True,REGULAR,USD,2024-08-02
8,GOOG240802C00185000,2024-06-21 19:53:48+00:00,185.0,5.7,4.3,6.65,1.25,28.08989,74.0,99,0.36133451171875,False,REGULAR,USD,2024-08-02
9,GOOG240802C00190000,2024-06-21 19:51:28+00:00,190.0,4.06,3.6,4.6,1.19,41.463417,63.0,218,0.3479679461669921,False,REGULAR,USD,2024-08-02
10,GOOG240802C00195000,2024-06-21 19:12:38+00:00,195.0,2.63,2.27,2.75,0.7500001,39.893623,344.0,2137,0.3218451605224609,False,REGULAR,USD,2024-08-02
11,GOOG240802C00210000,2024-06-21 19:17:48+00:00,210.0,0.69,0.48,0.72,0.19999999,40.816322,3.0,22,0.3193427441406249,False,REGULAR,USD,2024-08-02
12,GOOG240802C00215000,2024-06-13 14:09:33+00:00,215.0,0.65,0.32,0.62,0.0,0.0,1.0,1,0.3437565625,False,REGULAR,USD,2024-08-02
0,GOOG240816C00090000,2024-06-07 13:50:15+00:00,90.0,89.44,90.35,93.5,0.0,0.0,1.0,9,1.1877482019042969,True,REGULAR,USD,2024-08-16
1,GOOG240816C00095000,2024-06-21 14:48:43+00:00,95.0,86.95,85.4,88.5,4.8499985,5.9074283,1.0,2,1.1120649865722658,True,REGULAR,USD,2024-08-16
2,GOOG240816C00100000,2024-06-21 18:54:24+00:00,100.0,82.3,80.45,83.5,5.25,6.813757,219.0,212,1.039799722900391,True,REGULAR,USD,2024-08-16
3,GOOG240816C00105000,2024-06-21 16:36:21+00:00,105.0,78.43,75.5,77.95,2.5,3.2925062,5.0,0,0.9321295849609376,True,REGULAR,USD,2024-08-16
4,GOOG240816C00110000,2024-06-21 16:40:46+00:00,110.0,72.07,70.55,73.75,4.5599976,6.754551,9.0,16,0.9194343994140625,True,REGULAR,USD,2024-08-16
5,GOOG240816C00115000,2024-06-21 18:59:39+00:00,115.0,67.43,65.6,68.8,4.260002,6.7437115,3.0,14,0.85742330078125,True,REGULAR,USD,2024-08-16
6,GOOG240816C00120000,2024-06-20 17:35:21+00:00,120.0,58.55,60.7,63.9,0.0,0.0,2.0,31,0.8022480712890624,True,REGULAR,USD,2024-08-16
7,GOOG240816C00125000,2024-06-17 18:55:56+00:00,125.0,55.32,55.75,58.95,0.0,0.0,1.0,19,0.7429224926757811,True,REGULAR,USD,2024-08-16
8,GOOG240816C00130000,2024-06-20 16:57:03+00:00,130.0,49.0,50.85,54.0,0.0,0.0,4.0,5,0.6873810559082032,True,REGULAR,USD,2024-08-16
9,GOOG240816C00135000,2024-06-21 15:17:20+00:00,135.0,47.3,45.9,49.0,3.5,7.9908676,10.0,30,0.6282996154785156,True,REGULAR,USD,2024-08-16
10,GOOG240816C00140000,2024-06-21 13:56:11+00:00,140.0,40.75,41.05,44.35,1.4000015,3.5578184,6.0,15,0.5877726770019531,True,REGULAR,USD,2024-08-16
11,GOOG240816C00145000,2024-06-21 13:56:11+00:00,145.0,36.0,36.2,39.5,1.6100006,4.6815953,6.0,60,0.538212625732422,True,REGULAR,USD,2024-08-16
12,GOOG240816C00150000,2024-06-20 19:40:58+00:00,150.0,29.61,31.45,32.9,0.0,0.0,48.0,409,0.4815725671386719,True,REGULAR,USD,2024-08-16
13,GOOG240816C00155000,2024-06-21 19:41:31+00:00,155.0,28.62,26.8,28.0,3.2200012,12.677171,38.0,209,0.4279842358398438,True,REGULAR,USD,2024-08-16
14,GOOG240816C00160000,2024-06-21 19:45:04+00:00,160.0,24.0,22.9,23.35,3.5100002,17.13031,23.0,308,0.38660281372070304,True,REGULAR,USD,2024-08-16
