Date,Open,High,Low,Close,Adj Close,Volume
2016-05-26,21.948999,21.948999,21.361000,21.361000,3387472.000000,0
2016-06-02,21.525000,21.924999,21.499001,21.924999,-525089.875000,200
2016-06-09,21.853001,21.853001,20.142000,20.441999,-489572.937500,0
2016-06-16,21.138000,21.813999,20.459000,21.018000,-503367.781250,253
2016-06-23,21.079000,21.079000,18.951000,19.771000,-473502.875000,180
2016-06-30,19.906000,19.906000,19.357000,19.399000,-464593.718750,0
2016-07-07,19.409000,20.410999,19.409000,20.410999,-488830.531250,350
2016-07-14,20.079000,20.500000,20.014000,20.445999,-489668.750000,198
2016-07-21,20.910999,21.381001,20.910999,21.235001,-508564.843750,310
2016-07-28,20.997000,21.480000,20.858999,20.858999,-499559.875000,0
2016-08-04,20.476999,21.635000,20.476999,21.635000,-518144.562500,0
2016-08-11,21.687000,23.000000,21.687000,22.566000,-540441.375000,3425
2016-08-18,22.485001,23.100000,22.162001,23.100000,-553230.375000,100
2016-08-25,22.981001,23.848000,22.684999,22.943001,-549470.312500,410
2016-09-01,22.878000,24.583000,22.878000,23.666000,-566785.687500,450
2016-09-08,23.768000,23.768000,23.049999,23.049999,-552032.937500,60
2016-09-15,23.049999,23.723000,22.999001,23.388000,-560127.812500,260
2016-09-22,23.693001,24.198999,22.834999,22.834999,-546883.750000,200
2016-09-29,22.665001,23.985001,22.622000,23.608000,-565396.687500,1001
2016-10-06,23.893000,24.799999,23.687000,24.799999,-593944.250000,200
2016-10-13,23.625000,23.989000,23.188000,23.989000,-574521.375000,90
2016-10-20,23.969000,25.000000,23.969000,24.806999,-594111.875000,300
2016-10-27,24.778000,25.927999,24.646000,25.927999,-620959.062500,825
2016-11-03,25.100000,25.799999,25.100000,25.100000,-601129.062500,1170
2016-11-10,25.393000,26.261999,25.216999,25.216999,-603931.125000,365
2016-11-17,25.363001,25.844000,25.363001,25.844000,-618947.437500,0
2016-11-24,25.195000,25.291000,25.100000,25.100000,-601129.062500,300
2016-12-01,24.966999,26.400999,24.690001,24.988001,-598446.812500,15
2016-12-08,25.105000,25.414000,24.969999,25.414000,-608649.187500,90
2016-12-15,25.757000,26.686001,25.757000,25.861000,-619354.625000,1855
2016-12-22,26.312000,26.525000,26.115999,26.525000,-635257.000000,30
2016-12-29,26.448999,26.681999,26.129999,26.681999,-639017.000000,0
2017-01-05,27.143999,27.990000,27.143999,27.600000,-661002.500000,1245
2017-01-12,27.749001,28.259001,27.749001,27.975000,-669983.500000,0
2017-01-19,27.839001,27.839001,27.712999,27.801001,-665816.312500,352
2017-01-26,28.177000,29.103001,27.753000,27.826000,-666415.125000,563
2017-02-02,28.040001,28.941999,27.799999,28.941999,-693142.562500,811
2017-02-09,27.802999,29.750000,27.802999,29.750000,-712493.687500,843
2017-02-16,29.275000,29.783001,28.733999,29.766001,-712876.875000,100
2017-02-23,29.691999,29.691999,26.785999,26.785999,-641507.687500,93
2017-03-02,28.004000,28.306000,27.291000,27.291000,-653602.125000,0
2017-03-09,26.910999,27.700001,26.521999,26.545000,-635735.937500,495
2017-03-16,26.535999,27.507000,26.215000,26.215000,-627832.687500,42
2017-03-23,25.951000,27.042999,25.788000,26.280001,-629389.375000,135
2017-03-30,26.138000,26.138000,25.296000,25.296000,-605823.187500,8
2017-04-06,25.780001,26.948000,25.426001,25.426001,-608936.625000,2360
2017-04-13,25.385000,25.385000,25.009001,25.009001,-598949.750000,0
2017-04-20,25.318001,26.528999,25.318001,26.052000,-623928.875000,300
2017-04-27,25.601000,25.601000,25.186001,25.471001,-610014.250000,0
2017-05-04,24.618999,25.431000,24.415001,25.431000,-609056.312500,580
2017-05-11,25.965000,27.556999,25.962999,26.653999,-638346.375000,485
2017-05-18,27.632000,28.920000,27.618000,28.188999,-675108.625000,450
2017-05-25,27.657000,27.657000,27.264000,27.532000,-659373.937500,0
2017-06-01,27.333000,28.040001,27.333000,27.808001,111741.835938,0
2017-06-08,28.009001,30.341999,28.009001,30.327999,121868.031250,608
2017-06-15,30.115000,30.115000,29.400999,29.849001,119943.265625,383
2017-06-22,29.877001,29.877001,29.523001,29.650999,119147.617188,200
2017-06-29,29.499001,29.499001,29.000000,29.096001,116917.453125,0
2017-07-06,29.959999,30.905001,29.959999,30.695000,123342.765625,1625
2017-07-13,30.929001,31.200001,30.843000,30.995001,124548.265625,980
