Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,17.378000,17.705999,17.378000,17.705999,-20796240.000000,1200
2015-04-02,17.538000,17.538000,17.538000,17.538000,-20598918.000000,0
2015-04-07,17.396000,18.100000,17.396000,18.100000,-21259004.000000,180
2015-04-08,17.775000,17.775000,17.775000,17.775000,-20877280.000000,0
2015-04-09,17.747000,17.870001,17.747000,17.870001,-20988866.000000,300
2015-04-10,17.723000,18.129999,17.723000,18.129999,-21294240.000000,305
2015-04-13,18.297001,18.879999,18.297001,18.879999,-22175138.000000,500
2015-04-14,19.677000,20.407000,19.524000,19.593000,-23012580.000000,478
2015-04-15,19.575001,19.575001,19.575001,19.575001,-22991438.000000,0
2015-04-16,19.139999,19.139999,19.139999,19.139999,-22480514.000000,0
2015-04-17,18.863001,18.863001,18.497999,18.497999,-21726470.000000,100
2015-04-20,18.530001,18.837999,18.530001,18.837999,-22125806.000000,400
2015-04-21,18.613001,18.613001,18.613001,18.613001,-21861542.000000,0
2015-04-22,19.073000,19.388000,19.073000,19.134001,-22473472.000000,1825
2015-04-23,19.070999,19.070999,19.070999,19.070999,-22399474.000000,0
2015-04-24,19.146000,19.393000,19.146000,19.393000,-22777672.000000,1077
2015-04-27,19.031000,19.031000,19.031000,19.031000,-22352494.000000,0
2015-04-28,19.847000,19.847000,19.629000,19.629000,-23054864.000000,579
2015-04-29,19.566000,19.566000,19.566000,19.566000,-22980868.000000,0
2015-04-30,19.235001,19.980000,19.235001,19.849001,-23313260.000000,1050
2015-05-04,19.573999,19.850000,19.573999,19.850000,-23314432.000000,149
2015-05-05,19.771999,19.771999,19.771999,19.771999,-23222820.000000,0
2015-05-06,19.707001,19.782000,19.669001,19.782000,-23234564.000000,982
2015-05-07,19.590000,19.590000,19.590000,19.590000,-23009052.000000,0
2015-05-08,19.548000,19.548000,19.548000,19.548000,-22959724.000000,0
2015-05-11,19.457001,19.457001,19.457001,19.457001,-22852844.000000,0
2015-05-12,19.396999,19.396999,19.396999,19.396999,-22782370.000000,0
2015-05-13,19.072001,19.072001,19.072001,19.072001,-22400650.000000,0
2015-05-14,19.301001,19.301001,19.301001,19.301001,-22669618.000000,0
2015-05-15,19.125000,19.336000,19.125000,19.336000,-22710724.000000,150
2015-05-18,19.181999,19.396000,19.181999,19.396000,-22781194.000000,2100
2015-05-19,19.020000,19.020000,19.020000,19.020000,-22339574.000000,0
2015-05-20,19.160000,19.347000,19.160000,19.347000,-22723644.000000,553
2015-05-21,19.020000,19.020000,19.020000,19.020000,-22339574.000000,520
2015-05-22,18.457001,18.457001,18.457001,18.457001,-21678314.000000,0
2015-05-25,18.457001,18.457001,18.457001,18.457001,-21678314.000000,0
2015-05-26,18.219999,18.219999,17.839001,17.839001,-20952452.000000,12
2015-05-27,18.014000,18.014000,18.014000,18.014000,-21157994.000000,0
2015-05-28,18.021999,18.021999,18.021999,18.021999,-21167392.000000,0
2015-05-29,18.341000,18.341000,18.073000,18.073000,-21227290.000000,1000
2015-06-01,18.073000,18.073000,18.073000,18.073000,-21227290.000000,0
2015-06-02,18.079000,18.079000,18.079000,18.079000,-21234342.000000,0
2015-06-03,17.559000,17.600000,17.559000,17.600000,-20671740.000000,30
2015-06-04,17.549999,17.549999,17.245001,17.487000,-20539018.000000,1130
2015-06-05,17.094000,17.094000,17.094000,17.094000,2710802.250000,0
2015-06-08,16.983000,16.983000,16.983000,16.983000,2693200.000000,0
2015-06-09,16.549999,16.549999,16.549999,16.549999,2624533.750000,0
2015-06-10,17.024000,17.024000,16.958000,16.958000,2689235.250000,900
2015-06-11,17.075001,17.075001,17.075001,17.075001,2707789.750000,0
2015-06-12,17.614000,17.614000,17.590000,17.590000,2789459.500000,114
2015-06-15,17.222000,17.222000,16.958000,16.958000,2689235.250000,250
2015-06-16,17.017000,17.017000,17.017000,17.017000,2698591.750000,0
2015-06-17,17.195999,17.195999,17.195999,17.195999,2726977.750000,0
2015-06-18,16.861000,16.861000,16.719000,16.719000,2651334.000000,150
2015-06-19,16.730000,16.730000,16.730000,16.730000,2653079.000000,0
2015-06-22,16.823999,17.309999,16.823999,17.309999,2745056.250000,500
2015-06-23,17.378000,17.378000,17.378000,17.378000,2755840.000000,0
2015-06-24,17.962999,17.962999,17.962999,17.962999,2848610.500000,0
2015-06-25,17.576000,17.576000,17.576000,17.576000,2787239.250000,0
2015-06-26,17.549999,17.549999,17.518000,17.518000,2778041.250000,15
2015-06-29,17.556999,17.556999,17.556999,17.556999,2784225.750000,0
2015-06-30,17.305000,17.305000,17.305000,17.305000,2744263.750000,0
2015-07-01,17.438999,17.438999,17.438999,17.438999,2765513.250000,0
2015-07-02,17.837000,18.020000,17.837000,18.020000,2857650.000000,650
2015-07-03,17.839001,18.099001,17.839001,18.099001,2870177.750000,310
2015-07-06,16.955999,16.955999,16.955999,16.955999,2688918.250000,0
2015-07-07,17.261999,17.350000,17.261999,17.350000,2751399.500000,300
2015-07-08,16.959000,16.959000,16.959000,16.959000,2689394.000000,0
2015-07-09,16.792000,17.969000,16.792000,17.969000,2849561.750000,650
2015-07-10,17.532000,18.499001,17.532000,18.499001,2933610.500000,160
